timestamp,ax,ay,az,gx,gy,gz
6.817,-75.14,35.78,-69.60,-4.85,5.60,86.33
6.869,68.86,-32.22,-49.60,9.15,13.60,-32.67
6.920,-3.14,-48.22,-9.60,-31.85,23.60,76.33
6.972,-63.14,35.78,-33.60,50.15,-89.40,-110.67
7.027,64.86,59.78,70.40,-35.85,3.60,-8.67
7.077,-11.14,19.78,-17.60,29.15,-56.40,-50.67
7.130,52.86,39.78,30.40,14.15,-23.40,-95.67
7.181,72.86,-44.22,50.40,-22.85,21.60,105.33
7.234,-27.14,7.78,-5.60,5.15,-9.40,-57.67
7.284,-31.14,23.78,146.40,8.15,-4.40,29.33
7.336,32.86,-36.22,106.40,-13.85,9.60,-3.67
7.387,-3.14,-24.22,-37.60,-1.85,-7.40,27.33
7.439,-35.14,-28.22,-97.60,-15.85,15.60,33.33
7.493,32.86,-24.22,-25.60,-11.85,2.60,-46.67
7.547,-51.14,19.78,-13.60,14.15,-1.40,26.33
7.599,16.86,-0.22,-5.60,-146.85,24.60,-128.67
7.652,100.86,-96.22,114.40,64.15,-52.40,-145.67
7.708,56.86,-68.22,30.40,41.15,-18.40,-113.67
